gene,log2FC,t,pval,FDR,cohen_d
OOEPP2,0.0,,,,
UQCRC1,0.05036222040028271,0.5149709677450371,0.608595809118457,,0.1073434872565604
ATP6V1E1P3,0.0067253318647889915,0.2156560497860902,0.8297709874351925,,0.03565157652050273
XPOT,0.09789966774074621,1.036696478420206,0.3035173778523479,,0.1905796576717967
ELSPBP1,-0.05,-1.4327007988227582,0.15991096003143124,,-0.44574007058634074
DDC,-0.27176738689116536,-1.6399471388227407,0.10749240128347382,,-0.3859971577085254
PRR12,0.25096139666061656,2.3182094735357905,0.02418549759646131,,0.49064984041691745
SMIM15-AS1,0.05464601769911504,1.527708874586785,0.1292546276177443,,0.2206907065101956
LINC02199,0.008849557522123894,1.0,0.31946613116109157,,0.10922957417099886
LINC02202,0.02654867256637168,1.7477257950106058,0.08325211488304089,,0.19090334435667905
OTULIN-DT,0.0,,,,
MIR2277,0.0,,,,
NPM1P27,0.031248737530218396,0.26003802920553226,0.7956431693195991,,0.048823575050790026
POU5F2,0.09227460455151293,1.2866647193554577,0.20340387310356683,,0.26492795239970995
ZNF772,0.20349696873436063,1.6857569386770819,0.09644867189613929,,0.31225516626608507
NR2F1,0.09222663894561922,0.47245320488949344,0.6386758598457309,,0.10883531696178185
ZNF57,0.04749415952096614,0.483702251158188,0.6303909867951267,,0.09750121743403543
TMEM89,-0.0785915246751907,-0.4148724892790228,0.6798532810234761,,-0.08793872688013997
SLC26A6,0.42140559228319807,3.2145540586737833,0.0021743967666596254,,0.6733466993783175
ZNF354A,0.16974901624806327,2.252332851939536,0.027523088337207176,,0.41538166832635365
RASSF3-DT,0.0,,,,
MIR548Z,-0.3756869412601096,-1.881981872879362,0.06458133704502234,,-0.36926898852647444
MIR548C,-0.06030961406029012,-0.3579637957860386,0.7215751472205891,,-0.06940486537326321
DCTN2,0.2404435884139584,2.1047323847564265,0.03725691198939115,,0.2932861841859437
SIX5,0.3941578382021196,2.2457653015165597,0.028664520890739547,,0.4672561549210448
ZNF354B,0.05980439511437163,0.8278835013284837,0.41120936455731594,,0.17136312625768432
ZNF382,0.09341222562706708,0.8411661953176429,0.4036029212063593,,0.16774410084155003
MAPK8IP3,0.14236010789666675,1.3503111521850655,0.18219249740624957,,0.2761195865176353
SUMO2P7,-0.11884989494756223,-1.7086066265492719,0.09451432829385523,,-0.44173205779252245
TMEM92,0.30269779408780495,2.272341211681698,0.025947956183686456,,0.3999364558951008
RNU1-39P,0.0,,,,
MSANTD5,0.0,,,,
GOLGA8S,0.0,,,,
AMACR,-0.04419555800081065,-0.39230672939472827,0.6962976895697289,,-0.08098701893456518
TMEM92-AS1,0.0,,,,
XYLT2,0.060859076920115385,0.6333404003017511,0.5286175976993197,,0.11644824995508296
MARK4,0.22889126874398702,2.535740658119931,0.013723840908852552,,0.49074376051726626
GOLGA8A,-0.4142109558941023,-2.5959941488381846,0.011342358305818652,,-0.4556276415378112
HNRNPK,-0.047435021629056884,-0.5992343461320949,0.5512999347741935,,-0.1202573924187928
EZR,-0.0017509806815381168,-0.010013538516298182,0.9920474619715147,,-0.0021514586953324676
MRPL27,-0.12098380791891472,-1.3332346282234506,0.18842387831010848,,-0.3015727975648526
ABHD18,-0.09266164129416943,-1.0121962351597735,0.3155991031741052,,-0.2044982784675963
ANXA6,-0.3217573749169089,-2.7795731805548463,0.007089712465466734,,-0.5232213398966625
EME1,0.5628816413614888,3.2440134630044657,0.0019196716203203547,,0.641793968138642
FOSL1P1,0.1755360698498596,1.501713622083679,0.1384630433543388,,0.3007600027663304
PGRMC2,-0.2583291347457779,-2.536022543620624,0.013346918719344491,,-0.45074615256458894
TNNT1,-0.12952226330888328,-0.5542199198736939,0.581564044422309,,-0.11305622086741735
LRRC59,0.3480635317523255,4.133420452987902,0.00010548975306712174,,0.7884774040754123
NOP10,0.23174728679723788,2.4480553346413987,0.017112408595890347,,0.46793662893934823
ESR1,0.0933120276678403,0.663803231451442,0.5091976620644401,,0.12686939008833686
LINC02615,-0.032300884955752215,-0.8716672977956226,0.387615533128571,,-0.20190660225072266
SGCA,0.7773890088511815,3.029225263728551,0.0033604134830131876,,0.5312984658367707
DAPK2,-0.39335441350541167,-2.5806060871475847,0.011634205288945222,,-0.4330610946777719
PHF21A,-0.30516217527587663,-3.271054192526741,0.0018080170936346461,,-0.6670440672578842
LARP1B,0.14177176078468534,1.4257064178686767,0.15867253383709337,,0.2680548158277413
DDC-AS1,-0.025,-1.0000000000000002,0.3234749451713832,,-0.31111874227515096
IKZF1,-0.0137613767075071,-0.06288067545314423,0.9500861436346435,,-0.013157867982498475
MPTX1,0.0,,,,
DIABLO,0.008667540941463159,0.09658604334742135,0.9233671488041716,,0.018851263422905117
OR10J2P,0.0,,,,
OR10J7P,0.0,,,,
OR10J8P,0.0,,,,
OR10J9P,0.0,,,,
PRDX1,0.26033734306293344,1.6887857923934004,0.097493759137766,,0.38647395020672387
CRISPLD2,-0.5544288951761116,-2.25608666871684,0.02768781093159636,,-0.44649111084494286
SNURF,-0.6291829606118409,-3.135116746680052,0.0025453683744412945,,-0.5822178584311484
HMGB1P48,0.0,,,,
MIR6824,0.0,,,,
CELSR3,-0.01747657916702927,-0.059891073464200396,0.9524711376369109,,-0.013201689920809036
NASP,0.3583045576517856,3.104902346761582,0.002907948895954071,,0.6195911122375284
PAK6,0.11879277387530118,0.6578872862478752,0.5128979775291331,,0.12356732234252628
USP32P4,0.016985788666888962,0.245276796111345,0.8067602240231617,,0.03837950346389422
PLAGL1,0.3153582004111075,1.9438319469526648,0.05541532818904668,,0.33005350906327274
RPL36AP47,0.008849557522123894,1.0,0.31946613116109157,,0.10922957417099885
EFCAB3,0.04734513274336283,1.058009920887226,0.2928175197674022,,0.16915547534317907
LINC02176,0.023893805309734506,0.41740528710501923,0.6775891516639079,,0.073713510492796
ZDHHC7,0.03354256531840605,0.3869623280011416,0.7002287264981107,,0.07991146198456343
