gene,log2FC,t,pval,FDR,cohen_d
PRODH,-0.1459367810457981,-0.3281732412064745,0.7474098584969716,,-0.0849929138121705
FAM157A,-0.16243520421904423,-0.4725803105845061,0.644143649691645,,-0.14566325782687245
RNU6-821P,-0.05594626632643683,-2.093588377345918,0.038553593726674454,,-0.20639331249230752
ANKRD18DP,-0.008849557522123894,-1.0,0.31946613116109157,,-0.09858352039284643
DNAH10,0.3564716689396459,1.1162070705149998,0.2853851277593228,,0.4139109158893446
SUDS3P1,0.20439706869149965,1.0763721870270335,0.3030915201443143,,0.48019280377043666
PROP1,-0.04424778761061947,-2.2771001702132443,0.02467935171395619,,-0.22448455106677156
KRTAP9-6,-0.008849557522123894,-1.0,0.31946613116109157,,-0.09858352039284637
KRTAP9-7,0.0,,,,
KRTAP9-12P,0.0,,,,
ERICH1,-0.47073292867722216,-1.1322607953309867,0.2759853763605447,,-0.301549836164213
KRTAP9-11P,0.0,,,,
RPS17,-0.041557950728303705,-0.2808534761062999,0.7821338156516563,,-0.059576855995258936
CTDP1-DT,-0.09734513274336283,-3.475403771153651,0.0007266454436556698,,-0.34261753854690147
FTCD,0.6021864599603011,1.648664998970821,0.1214046862513918,,0.4600690692607128
CTDP1,-0.18990595825477552,-1.409522486159065,0.18134859679859036,,-0.4262699056093346
DLG5-AS1,0.0,,,,
CCDC92,0.21861195005465373,1.3101496567316335,0.21219340814632626,,0.40206704862148696
RN7SL284P,-0.035398230088495575,-2.02733611991679,0.04500245690831067,,-0.19986193172097105
RNU6-1266P,0.01253687315634218,0.14445737330687627,0.8873665921575704,,0.048116150949056455
DNM1P38,-0.017699115044247787,-1.4205696104091547,0.1582198899558699,,-0.14004475315722914
CRIM1,-0.4471059827058479,-0.9940407300685631,0.33728602732178203,,-0.28541317743158423
RPL21P36,0.0,,,,
CRIM1-DT,0.0,,,,
CPEB1,0.9698862018022176,2.8278228239909753,0.013694775550272624,,0.8317355785805634
RNU6-222P,0.0,,,,
FTCD-AS1,-0.014011799410029502,-0.1593795329594799,0.8757110643347424,,-0.04718611976812611
LSS,0.41486617542803206,1.7857267212759569,0.09789183684617311,,0.6149591415008261
GARRE1,-0.689279585565439,-3.023897778477966,0.008630859519532358,,-0.7720038323834554
PRB1,0.10174107668340135,0.686915579119781,0.5042409231796199,,0.22736078494851095
SKA1,-0.6926541231013599,-2.771169837422418,0.013915089479663486,,-0.6652029660967339
DSEL-AS1,0.0,,,,
DSEL,-0.008849557522123894,-1.0,0.31946613116109157,,-0.09858352039284646
LSM14A,-0.6844366428478912,-3.8004501620360935,0.0021360744646262667,,-1.1921662020141381
GOLGA8DP,0.0,,,,
